    77.	otro	  121,983	   799.58
    78.	después 	  121,746	   798.02
    79.	te	  120,052	   786.92
    80.	otros	  119,500	   783.30
    81.	aunque 	  115,556	   757.45
    82.	esa 	  115,377	   756.28
    83.	eso 	  114,523	   750.68
    84.	hace 	  114,507	   750.57
    85.	otra	  113,982	   747.13
    86.	gobierno	  113,011	   740.77
    87.	tan	  112,471	   737.23
    88.	durante	  112,020	   734.27
    89.	siempre 	  111,557	   731.24
    90.	día	  110,921	   727.07
    91.	tanto	  110,679	   725.48
    92.	ella	  110,620	   725.09
    93.	tres	  109,542	   718.03
    94.	sí	  108,631	   712.06
    95.	dijo	  108,471	   711.01
    96.	sido	  107,352	   703.67
    97.	gran	  106,991	   701.31
    98.	país	  104,568	   685.42
    99.	según 	  104,204	   683.04
   100.	menos  	  103,498	   678.41
   101.	mundo  	  101,745	   666.92
   102.	año 	  100,790	   660.66
   103.	antes	  100,761	   660.47
   104.	estado 	  100,757	   660.44
   105.	contra	  100,403	   658.12
   106.	sino	   98,145	   643.32
   107.	forma	   97,165	   636.90
   108.	caso 	   96,979	   635.68
   109.	nada 	   96,340	   631.49
   110.	hacer	   96,063	   629.68
   111.	general	   95,768	   627.74
   112.	estaba 	   93,607	   613.58
   113.	poco 	   92,205	   604.39
   114.	estos	   91,398	   599.10
   115.	presidente	   91,350	   598.78
   116.	mayor 	   90,166	   591.02
   117.	ante	   87,990	   576.76
   118.	unos 	   86,747	   568.61
   119.	les	   86,363	   566.09
   120.	algo	   85,999	   563.71
   121.	hacia	   85,122	   557.96
   122.	casa 	   85,064	   557.58
   123.	ellos	   84,636	   554.77
   124.	ayer	   84,310	   552.64
   125.	hecho 	   83,898	   549.94
   126.	primera	   83,428	   546.85
   127.	mucho  	   83,240	   545.62
   128.	mientras	   82,630	   541.62
   129.	además  	   82,576	   541.27
   130.	quien	   82,555	   541.13
   131.	momento  	   82,132	   538.36
   132.	millones	   81,999	   537.49
   133.	esto	   81,979	   537.36
   134.	españa 	   80,195	   525.66
   135.	hombre 	   80,152	   525.38
   136.	están	   79,844	   523.36
   137.	pues 	   79,642	   522.04
   138.	hoy 	   78,479	   514.41
   139.	lugar	   78,250	   512.91
   140.	madrid 	   77,837	   510.21
   141.	nacional	   77,541	   508.27
   142.	trabajo	   77,478	   507.85
   143.	otras	   77,428	   507.53
   144.	mejor	   77,315	   506.78
   145.	nuevo 	   77,262	   506.44
   146.	decir	   76,867	   503.85
   147.	algunos 	   76,107	   498.87
   148.	entonces 	   75,706	   496.24
   149.	todas	   75,517	   495.00
   150.	días	   75,144	   492.55
   151.	debe 	   74,229	   486.56
   152.	política	   73,464	   481.54
   153.	cómo 	   73,100	   479.16
   154.	casi	   72,965	   478.27
   155.	toda	   72,248	   473.57
   156.	tal	   71,419	   468.14
   157.	luego	   70,522	   462.26
   158.	pasado 	   70,484	   462.01
   159.	primer	   69,918	   458.30
   160.	medio 	   69,273	   454.07
   161.	va	   69,098	   452.92
   162.	estas	   69,071	   452.75
   163.	sea 	   68,921	   451.76
   164.	tenía	   67,093	   439.78
   165.	nunca 	   66,939	   438.77
   166.	poder	   66,900	   438.52
   167.	aquí	   66,821	   438.00
   168.	ver	   66,479	   435.76
   169.	veces 	   66,441	   435.51
   170.	embargo 	   66,116	   433.38
   171.	partido	   65,492	   429.29
   172.	personas 	   65,410	   428.75
   173.	grupo	   65,390	   428.62
   174.	cuenta 	   65,368	   428.47
   175.	pueden 	   63,889	   418.78
   176.	tienen	   63,652	   417.23
   177.	misma  	   63,462	   415.98
   178.	nueva 	   63,427	   415.75
   179.	cual	   62,309	   408.42
   180.	fueron	   62,220	   407.84
   181.	mujer	   61,936	   405.98
   182.	frente	   61,469	   402.92
   183.	josé	   61,080	   400.37
   184.	tras	   60,064	   393.71
   185.	cosas 	   59,580	   390.53
   186.	fin	   59,108	   387.44
   187.	ciudad	   59,049	   387.05
   188.	he	   58,965	   386.50
   189.	social	   58,484	   383.35
   190.	manera 	   58,134	   381.06
   191.	tener	   58,029	   380.37
   192.	sistema 	   57,810	   378.93
   193.	será	   57,808	   378.92
   194.	historia	   57,791	   378.81
   195.	muchos  	   57,523	   377.05
   196.	juan	   57,204	   374.96
   197.	tipo	   56,606	   371.04
   198.	cuatro	   56,570	   370.80
   199.	dentro	   56,565	   370.77
   200.	nuestro	   56,307	   369.08
   201.	punto	   56,259	   368.77
   202.	dice	   56,253	   368.73
   203.	ello	   55,768	   365.55
   204.	cualquier	   55,361	   362.88
   205.	noche 	   55,281	   362.35
   206.	aún 	   54,761	   358.95
   207.	agua 	   54,702	   358.56
   208.	parece 	   54,554	   357.59
   209.	haber	   54,150	   354.94
   210.	situación	   54,020	   354.09
   211.	fuera	   53,979	   353.82
   212.	bajo	   53,243	   349.00
   213.	grandes 	   52,362	   343.22
   214.	nuestra	   52,321	   342.95
   215.	ejemplo 	   51,803	   339.56
   216.	acuerdo 	   51,485	   337.47
   217.	habían	   50,397	   330.34
   218.	usted	   50,073	   328.22
   219.	estados 	   49,814	   326.52
   220.	hizo	   49,733	   325.99
   221.	nadie	   49,689	   325.70
   222.	países	   49,445	   324.10
   223.	horas	   49,389	   323.73
   224.	posible	   49,082	   321.72
   225.	tarde	   48,963	   320.94
   226.	ley	   48,945	   320.82
   227.	importante	   48,397	   317.23
   228.	guerra	   48,391	   317.19
   229.	desarrollo	   48,378	   317.11
   230.	proceso 	   48,064	   315.05
   231.	realidad	   47,650	   312.33
   232.	sentido	   47,559	   311.74
   233.	lado	   47,315	   310.14
   234.	mí	   47,248	   309.70
   235.	tu	   47,057	   308.45
   236.	cambio 	   46,814	   306.85
   237.	allí	   46,771	   306.57
   238.	mano 	   46,657	   305.83
   239.	eran	   46,367	   303.92
   240.	estar	   46,282	   303.37
   241.	san 	   46,004	   301.55
   242.	número 	   45,985	   301.42
   243.	sociedad 	   45,974	   301.35
   244.	unas 	   45,565	   298.67
   245.	centro	   45,456	   297.95
   246.	padre	   45,236	   296.51
   247.	gente	   45,235	   296.50
   248.	final	   44,920	   294.44
   249.	relación	   44,617	   292.45
   250.	cuerpo 	   44,470	   291.49
   251.	obra	   44,308	   290.43
   252.	incluso	   44,285	   290.28
   253.	través	   44,212	   289.80
   254.	último	   44,086	   288.97
   255.	madre 	   43,697	   286.42
   256.	mis 	   43,564	   285.55
   257.	modo 	   43,478	   284.99
   258.	problemas 	   43,295	   283.79
   259.	cinco	   43,283	   283.71
   260.	carlos	   42,834	   280.77
   261.	hombres 	   42,544	   278.87
   262.	información	   42,423	   278.07
   263.	ojos	   42,371	   277.73
   264.	muerte 	   42,341	   277.53
   265.	nombre 	   42,284	   277.16
   266.	algunas 	   42,223	   276.76
   267.	público	   42,201	   276.62
   268.	mujeres 	   42,094	   275.92
   269.	siglo	   41,890	   274.58
   270.	todavía	   41,792	   273.94
   271.	meses  	   41,650	   273.01
   272.	mañana  	   41,368	   271.16
   273.	esos 	   41,184	   269.95
   274.	nosotros	   40,870	   267.89
   275.	hora	   40,581	   266.00
   276.	muchas  	   40,566	   265.90
   277.	pueblo	   40,425	   264.98
   278.	alguna	   40,406	   264.85
   279.	dar	   40,396	   264.79
   280.	problema 	   40,295	   264.12
   281.	don 	   40,224	   263.66
   282.	da	   40,191	   263.44
   283.	tú	   40,119	   262.97
   284.	derecho 	   39,939	   261.79
   285.	verdad	   39,924	   261.69
   286.	maría	   39,812	   260.96
   287.	unidos	   39,806	   260.92
   288.	podría	   39,797	   260.86
   289.	sería	   39,731	   260.43
   290.	junto	   39,521	   259.05
   291.	cabeza 	   39,451	   258.59
   292.	aquel	   39,377	   258.11
   293.	luis	   39,370	   258.06
   294.	cuanto 	   38,519	   252.48
   295.	tierra	   38,352	   251.39
   296.	equipo	   38,214	   250.48
   297.	segundo 	   38,160	   250.13
   298.	director	   38,096	   249.71
   299.	dicho	   38,074	   249.57
   300.	cierto	   37,979	   248.94
   301.	casos 	   37,796	   247.74
   302.	manos  	   37,736	   247.35
   303.	nivel	   37,419	   245.27
   304.	podía	   37,403	   245.17
   305.	familia	   37,376	   244.99
   306.	largo	   37,315	   244.59
   307.	partir	   37,278	   244.35
   308.	falta	   37,196	   243.81
   309.	llegar	   37,054	   242.88
   310.	propio	   36,979	   242.39
   311.	ministro	   36,337	   238.18
   312.	cosa 	   36,267	   237.72
   313.	primero	   36,232	   237.49
   314.	seguridad	   36,054	   236.32
   315.	hemos  	   35,988	   235.89
   316.	mal 	   35,964	   235.73
   317.	trata	   35,744	   234.29
   318.	algún	   35,564	   233.11
   319.	tuvo	   35,490	   232.63
   320.	respecto	   35,394	   232.00
   321.	semana  	   35,354	   231.74
   322.	varios	   35,315	   231.48
   323.	real	   35,222	   230.87
   324.	sé	   35,154	   230.42
   325.	voz	   34,982	   229.30
   326.	paso 	   34,921	   228.90
   327.	señor	   34,905	   228.79
   328.	mil	   34,834	   228.33
   329.	quienes 	   34,743	   227.73
   330.	proyecto	   34,716	   227.55
   331.	mercado 	   34,677	   227.30
   332.	mayoría 	   34,634	   227.02
   333.	luz	   34,617	   226.90
   334.	claro	   34,589	   226.72
   335.	iba	   34,380	   225.35
   336.	éste	   34,338	   225.08
   337.	pesetas 	   34,204	   224.20
   338.	orden	   33,982	   222.74
   339.	español 	   33,920	   222.34
   340.	buena 	   33,759	   221.28
   341.	quiere	   33,735	   221.12
   342.	aquella	   33,723	   221.04
   343.	programa 	   33,620	   220.37
   344.	palabras	   33,485	   219.48
   345.	internacional	   33,448	   219.24
   346.	van	   33,398	   218.91
   347.	esas 	   33,382	   218.81
   348.	segunda 	   33,363	   218.69
   349.	empresa 	   33,301	   218.28
   350.	puesto 	   33,254	   217.97
   351.	ahí	   33,248	   217.93
   352.	propia	   33,149	   217.28
   353.	m 	   33,099	   216.95
   354.	libro	   33,056	   216.67
   355.	igual	   32,950	   215.98
   356.	político	   32,928	   215.83
   357.	persona 	   32,756	   214.71
   358.	últimos	   32,689	   214.27
   359.	ellas	   32,635	   213.91
   360.	total	   32,539	   213.28
   361.	creo	   32,504	   213.05
   362.	tengo	   32,413	   212.46
   363.	dios	   32,373	   212.20
   364.	c	   32,345	   212.01
   365.	española 	   32,140	   210.67
   366.	condiciones 	   32,094	   210.37
   367.	méxico 	   32,084	   210.30
   368.	fuerza	   32,082	   210.29
   369.	solo	   32,010	   209.82
   370.	único	   31,999	   209.74
   371.	acción	   31,789	   208.37
   372.	amor 	   31,690	   207.72
   373.	policía	   31,598	   207.12
   374.	puerta	   31,503	   206.49
   375.	pesar	   31,436	   206.05
   376.	zona 	   31,365	   205.59
   377.	sabe 	   31,358	   205.54
   378.	calle	   31,330	   205.36
   379.	interior	   31,198	   204.49
   380.	tampoco 	   31,014	   203.29
   381.	música 	   30,968	   202.99
   382.	ningún	   30,962	   202.95
   383.	vista	   30,952	   202.88
   384.	campo  	   30,775	   201.72
   385.	buen 	   30,756	   201.60
   386.	hubiera	   30,754	   201.58
   387.	saber	   30,644	   200.86
   388.	obras	   30,575	   200.41
   389.	razón	   30,539	   200.17
   390.	ex	   30,522	   200.06
   391.	niños	   30,449	   199.58
   392.	presencia	   30,426	   199.43
   393.	tema 	   30,398	   199.25
   394.	dinero	   30,386	   199.17
   395.	comisión 	   30,350	   198.94
   396.	antonio	   30,339	   198.86
   397.	servicio	   30,318	   198.73
   398.	hijo	   30,298	   198.59
   399.	última	   30,269	   198.40
   400.	ciento	   30,146	   197.60
   401.	estoy	   30,136	   197.53
   402.	hablar	   30,127	   197.47
   403.	dio	   30,123	   197.45
   404.	minutos 	   30,012	   196.72
   405.	producción 	   29,875	   195.82
   406.	camino 	   29,830	   195.53
   407.	seis	   29,812	   195.41
   408.	quién	   29,760	   195.07
   409.	fondo	   29,750	   195.00
   410.	dirección	   29,708	   194.73
   411.	papel	   29,702	   194.69
   412.	demás  	   29,623	   194.17
   413.	barcelona	   29,613	   194.10
   414.	idea	   29,613	   194.10
   415.	especial	   29,458	   193.09
   416.	diferentes	   29,378	   192.56
   417.	dado 	   29,292	   192.00
   418.	base 	   29,243	   191.68
   419.	capital	   29,220	   191.53
   420.	ambos  	   29,178	   191.25
   421.	europa 	   29,171	   191.21
   422.	libertad	   29,119	   190.87
   423.	relaciones	   29,055	   190.45
   424.	espacio 	   28,844	   189.06
   425.	medios 	   28,828	   188.96
   426.	ir	   28,757	   188.49
   427.	actual	   28,719	   188.24
   428.	población	   28,668	   187.91
   429.	empresas  	   28,653	   187.81
   430.	estudio	   28,640	   187.73
   431.	salud	   28,630	   187.66
   432.	servicios	   28,547	   187.12
   433.	haya 	   28,528	   186.99
   434.	principio	   28,476	   186.65
   435.	siendo	   28,468	   186.60
   436.	cultura	   28,382	   186.04
   437.	anterior	   28,310	   185.56
   438.	alto	   28,306	   185.54
   439.	media 	   28,292	   185.45
   440.	mediante 	   28,252	   185.18
   441.	primeros	   28,193	   184.80
   442.	arte	   28,165	   184.61
   443.	paz 	   28,159	   184.57
   444.	sector	   28,156	   184.55
   445.	imagen 	   28,109	   184.25
   446.	medida 	   28,101	   184.19
   447.	deben 	   28,008	   183.58
   448.	datos	   28,003	   183.55
   449.	consejo 	   27,968	   183.32
   450.	personal	   27,930	   183.07
   451.	interés	   27,919	   183.00
   452.	julio	   27,919	   183.00
   453.	grupos 	   27,863	   182.63
   454.	miembros  	   27,843	   182.50
   455.	ninguna 	   27,822	   182.36
   456.	existe	   27,779	   182.08
   457.	cara	   27,756	   181.93
   458.	edad 	   27,731	   181.77
   459.	etc	   27,709	   181.62
   460.	movimiento 	   27,696	   181.54
   461.	visto	   27,677	   181.41
   462.	llegó	   27,556	   180.62
   463.	puntos 	   27,488	   180.18
   464.	actividad	   27,283	   178.83
   465.	bueno 	   27,256	   178.65
   466.	uso 	   27,235	   178.52
   467.	niño	   27,157	   178.01
   468.	difícil	   27,109	   177.69
   469.	joven	   27,024	   177.13
   470.	futuro	   26,989	   176.90
   471.	aquellos	   26,975	   176.81
   472.	mes 	   26,958	   176.70
   473.	pronto	   26,934	   176.54
   474.	soy 	   26,903	   176.34
   475.	hacía	   26,850	   175.99
   476.	nuevos 	   26,828	   175.85
   477.	nuestros	   26,789	   175.59
   478.	estaban 	   26,694	   174.97
   479.	posibilidad	   26,611	   174.43
   480.	sigue	   26,580	   174.22
   481.	cerca	   26,495	   173.67
   482.	resultados	   26,413	   173.13
   483.	educación 	   26,327	   172.57
   484.	atención	   26,299	   172.38
   485.	gonzález 	   26,281	   172.26
   486.	capacidad 	   26,228	   171.92
   487.	efecto	   26,209	   171.79
   488.	necesario	   26,149	   171.40
   489.	valor	   26,106	   171.12
   490.	aire	   26,060	   170.81
   491.	investigación	   26,001	   170.43
   492.	siguiente	   25,891	   169.71
   493.	figura	   25,859	   169.50
   494.	central	   25,780	   168.98
   495.	comunidad  	   25,745	   168.75
   496.	necesidad 	   25,699	   168.45
   497.	serie	   25,677	   168.30
   498.	organización	   25,647	   168.11
   499.	nuevas 	   25,638	   168.05
   500.	calidad	   25,597	   167.78
   501.	economía 	   25,553	   167.49
   502.	carácter	   25,528	   167.33
   503.	jefe	   25,526	   167.31
   504.	estamos 	   25,495	   167.11
   505.	prensa 	   25,472	   166.96
   506.	control	   25,219	   165.30
   507.	sociales	   25,197	   165.16
   508.	universidad	   25,155	   164.88
   509.	militar	   25,150	   164.85
   510.	cabo 	   25,125	   164.69
   511.	diez	   25,114	   164.61
   512.	fuerzas	   25,106	   164.56
   513.	congreso 	   25,073	   164.35
   514.	ésta	   25,041	   164.14
   515.	hijos	   24,995	   163.83
   516.	justicia	   24,983	   163.76
   517.	mundial 	   24,963	   163.62
   518.	dólares	   24,939	   163.47
   519.	juego	   24,922	   163.36
   520.	económica  	   24,845	   162.85
   521.	políticos	   24,824	   162.71
   522.	duda 	   24,821	   162.69
   523.	recursos	   24,800	   162.56
   524.	pública	   24,775	   162.39
   525.	crisis	   24,760	   162.29
   526.	próximo 	   24,728	   162.08
   527.	tenemos 	   24,716	   162.01
   528.	decisión	   24,685	   161.80
   529.	varias	   24,657	   161.62
   530.	popular	   24,543	   160.87
   531.	tenido	   24,472	   160.41
   532.	apenas 	   24,440	   160.20
   533.	época 	   24,358	   159.66
   534.	banco 	   24,341	   159.55
   535.	presente	   24,211	   158.69
   536.	menor 	   24,142	   158.24
   537.	quiero	   24,054	   157.67
   538.	pasar	   24,048	   157.63
   539.	resultado	   24,030	   157.51
   540.	televisión	   23,938	   156.91
   541.	encuentra 	   23,833	   156.22
   542.	gracias	   23,794	   155.96
   543.	ministerio	   23,781	   155.88
   544.	conjunto	   23,735	   155.57
   545.	defensa 	   23,717	   155.46
   546.	alguien	   23,626	   154.86
   547.	queda 	   23,600	   154.69
   548.	hacen 	   23,508	   154.09
   549.	pasa 	   23,503	   154.05
   550.	resto	   23,366	   153.16
   551.	causa 	   23,283	   152.61
   552.	seguir	   23,261	   152.47
   553.	allá	   23,155	   151.77
   554.	palabra	   23,090	   151.35
   555.	voy	   23,067	   151.20
   556.	cuya 	   23,048	   151.07
   557.	vamos 	   23,036	   150.99
   558.	mar 	   23,022	   150.90
   559.	estudios	   23,011	   150.83
   560.	derechos 	   22,989	   150.68
   561.	importancia	   22,969	   150.55
   562.	cuales	   22,961	   150.50
   563.	contrario	   22,957	   150.48
   564.	manuel 	   22,924	   150.26
   565.	garcía	   22,851	   149.78
   566.	fuerte	   22,828	   149.63
   567.	sol	   22,823	   149.60
   568.	jóvenes	   22,791	   149.39
   569.	apoyo 	   22,776	   149.29
   570.	habría	   22,760	   149.18
   571.	civil	   22,758	   149.17
   572.	miguel	   22,755	   149.15
   573.	pedro	   22,738	   149.04
   574.	partidos	   22,728	   148.97
   575.	libre	   22,640	   148.40
   576.	fuentes	   22,592	   148.08
   577.	administración	   22,536	   147.72
   578.	común  	   22,536	   147.72
   579.	dejar	   22,499	   147.47
   580.	cine	   22,492	   147.43
   581.	salir	   22,447	   147.13
   582.	comunicación 	   22,434	   147.05
   583.	b	   22,407	   146.87
   584.	experiencia	   22,402	   146.84
   585.	demasiado  	   22,378	   146.68
   586.	plan	   22,279	   146.03
   587.	respuesta 	   22,259	   145.90
   588.	energía	   22,241	   145.78
   589.	izquierda	   22,232	   145.72
   590.	función	   22,148	   145.17
   591.	principal	   22,074	   144.69
   592.	superior	   22,014	   144.29
   593.	naturaleza	   22,002	   144.22
   594.	podemos  	   21,958	   143.93
   595.	unión	   21,933	   143.76
   596.	especialmente 	   21,931	   143.75
   597.	rey	   21,907	   143.59
   598.	domingo 	   21,823	   143.04
   599.	favor	   21,818	   143.01
   600.	cantidad	   21,812	   142.97
   601.	elecciones	   21,781	   142.77
   602.	clase	   21,733	   142.45
   603.	productos 	   21,731	   142.44
   604.	españoles 	   21,693	   142.19
   605.	conocer 	   21,681	   142.11
   606.	teatro	   21,663	   141.99
   607.	importantes	   21,597	   141.56
   608.	evitar	   21,587	   141.50
   609.	color	   21,575	   141.42
   610.	actividades	   21,564	   141.34
   611.	mesa 	   21,558	   141.30
   612.	p	   21,518	   141.04
   613.	decía	   21,458	   140.65
   614.	cuyo 	   21,444	   140.56
   615.	debido	   21,378	   140.13
   616.	alta	   21,377	   140.12
   617.	francisco	   21,361	   140.01
   618.	secretario	   21,351	   139.95
   619.	objeto	   21,336	   139.85
   620.	quizá	   21,323	   139.76
   621.	posición	   21,168	   138.75
   622.	parecía	   21,152	   138.64
   623.	natural	   21,146	   138.60
   624.	elementos 	   21,133	   138.52
   625.	hubo 	   21,112	   138.38
   626.	objetivo	   21,097	   138.28
   627.	formas 	   21,083	   138.19
   628.	única	   21,076	   138.15
   629.	pueda 	   21,061	   138.05
   630.	origen	   21,055	   138.01
   631.	blanco	   21,035	   137.88
   632.	mismos  	   21,006	   137.69
   633.	lleva	   20,947	   137.30
   634.	económico  	   20,927	   137.17
   635.	opinión	   20,927	   137.17
   636.	ayuda 	   20,918	   137.11
   637.	oficial	   20,905	   137.02
   638.	silencio	   20,896	   136.97
   639.	buenos 	   20,881	   136.87
   640.	pensar 	   20,880	   136.86
   641.	república	   20,854	   136.69
   642.	dónde 	   20,846	   136.64
   643.	sangre 	   20,798	   136.32
   644.	encuentro 	   20,719	   135.81
   645.	siquiera	   20,708	   135.73
   646.	autor	   20,676	   135.52
   647.	reunión	   20,609	   135.08
   648.	haciendo 	   20,582	   134.91
   649.	suelo	   20,565	   134.80
   650.	muestra 	   20,563	   134.78
   651.	viejo	   20,558	   134.75
   652.	encima 	   20,522	   134.51
   653.	resulta	   20,497	   134.35
   654.	tomar 	   20,492	   134.32
   655.	bastante	   20,488	   134.29
   656.	siete	   20,483	   134.26
   657.	lucha	   20,434	   133.94
   658.	pudo 	   20,404	   133.74
   659.	amigos 	   20,369	   133.51
   660.	línea	   20,338	   133.31
   661.	sur	   20,334	   133.28
   662.	pocos 	   20,289	   132.99
   663.	medidas 	   20,225	   132.57
   664.	norte	   20,173	   132.23
   665.	partes	   20,137	   131.99
   666.	iglesia	   20,101	   131.75
   667.	tratamiento	   20,030	   131.29
   668.	existencia	   19,997	   131.07
   669.	cargo	   19,935	   130.67
   670.	grande 	   19,882	   130.32
   671.	américa 	   19,874	   130.27
   672.	boca 	   19,829	   129.97
   673.	plaza	   19,792	   129.73
   674.	pie	   19,780	   129.65
   675.	trabajadores	   19,723	   129.28
   676.	poner	   19,722	   129.27
   677.	existen	   19,634	   128.69
   678.	viene	   19,630	   128.67
   679.	permite	   19,607	   128.52
   680.	análisis	   19,554	   128.17
   681.	argentina	   19,553	   128.16
   682.	acto	   19,520	   127.95
   683.	hechos 	   19,465	   127.59
   684.	tiempos 	   19,394	   127.12
   685.	políticas	   19,285	   126.41
   686.	radio	   19,271	   126.31
   687.	puedo 	   19,230	   126.05
   688.	crecimiento	   19,202	   125.86
   689.	francia	   19,193	   125.80
   690.	compañía 	   19,178	   125.70
   691.	amigo 	   19,176	   125.69
   692.	autoridades	   19,175	   125.68
   693.	realizar	   19,166	   125.63
   694.	acciones 	   19,075	   125.03
   695.	padres 	   19,075	   125.03
   696.	diario	   19,064	   124.96
   697.	ve	   19,059	   124.92
   698.	derecha 	   19,049	   124.86
   699.	ambiente 	   19,000	   124.54
   700.	i	   18,980	   124.41
   701.	habrá	   18,951	   124.22
   702.	precisamente 	   18,930	   124.08
   703.	enfermedad 	   18,927	   124.06
   704.	especie 	   18,903	   123.90
   705.	ejército	   18,900	   123.88
   706.	santa	   18,890	   123.82
   707.	cambios 	   18,886	   123.79
   708.	río	   18,885	   123.78
   709.	sabía	   18,873	   123.71
   710.	seguro 	   18,856	   123.59
   711.	espera 	   18,850	   123.55
   712.	momentos  	   18,847	   123.53
   713.	viaje	   18,834	   123.45
   714.	quería	   18,827	   123.40
   715.	ocho 	   18,818	   123.34
   716.	vivir	   18,817	   123.34
   717.	región	   18,771	   123.04
   718.	formación	   18,743	   122.85
   719.	escuela 	   18,722	   122.72
   720.	cuarto	   18,721	   122.71
   721.	valores	   18,677	   122.42
   722.	quedó 	   18,674	   122.40
   723.	participación	   18,598	   121.90
   724.	éxito	   18,595	   121.88
   725.	baja	   18,542	   121.54
   726.	artículo	   18,504	   121.29
   727.	principales	   18,490	   121.19
   728.	fernando	   18,468	   121.05
   729.	metros 	   18,468	   121.05
   730.	marcha 	   18,427	   120.78
   731.	régimen 	   18,382	   120.49
   732.	consecuencia 	   18,358	   120.33
   733.	conocimiento 	   18,346	   120.25
   734.	corazón 	   18,331	   120.15
   735.	campaña  	   18,261	   119.69
   736.	estructura	   18,261	   119.69
   737.	efectos	   18,253	   119.64
   738.	finalmente	   18,231	   119.50
   739.	modelo 	   18,221	   119.43
   740.	carta	   18,218	   119.41
   741.	construcción	   18,098	   118.63
   742.	médico 	   18,083	   118.53
   743.	miedo 	   18,049	   118.30
   744.	mayores 	   17,976	   117.83
   745.	entrada	   17,955	   117.69
   746.	humanos  	   17,917	   117.44
   747.	sean 	   17,892	   117.27
   748.	actitud	   17,843	   116.95
   749.	deja	   17,838	   116.92
   750.	dejó	   17,827	   116.85
   751.	d	   17,810	   116.74
   752.	llevar	   17,798	   116.66
   753.	negro	   17,774	   116.50
   754.	texto	   17,714	   116.11
   755.	mitad	   17,705	   116.05
   756.	estuvo	   17,681	   115.89
   757.	alrededor	   17,639	   115.62
   758.	acerca 	   17,598	   115.35
   759.	peso 	   17,589	   115.29
   760.	humano  	   17,581	   115.24
   761.	pequeño 	   17,577	   115.21
   762.	fecha	   17,551	   115.04
   763.	serán	   17,529	   114.90
   764.	doctor	   17,526	   114.88
   765.	ideas	   17,495	   114.67
   766.	vino	   17,491	   114.65
   767.	materia	   17,468	   114.50
   768.	llega	   17,456	   114.42
   769.	carrera	   17,451	   114.38
   770.	cierta	   17,389	   113.98
   771.	sola	   17,362	   113.80
   772.	psoe 	   17,360	   113.79
   773.	lejos	   17,339	   113.65
   774.	juez	   17,328	   113.58
   775.	características	   17,307	   113.44
   776.	riesgo	   17,271	   113.20
   777.	fácil	   17,205	   112.77
   778.	diferencia	   17,178	   112.59
